branch,host,compiler,c_version,mpi,m_version,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,netcdf_c,netcdf_f,artifacts_hash,modified
main,chianti,gfortran,9.3.0,openmpi,4.0.5-gcc-9.3.0,O,Linux,Pass,8926,0,49,0,80,0,44,6,4.8.0,4.5.3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/5ff84861b7fc405d2b05338a24c0c6e8cb0b60a8),2022-03-02 23:39:03.749536
main,chianti,gfortran,9.3.0,openmpi,4.0.5-gcc-9.3.0,g,Linux,Pass,8926,0,49,0,80,0,44,6,4.8.0,4.5.3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/16049044be31f40dc5014d082fbbc92f52964242),2022-03-02 23:39:03.749536
main,chianti,intel,2021.2,intelmpi,2021.2.0-gcc-9.3.0,O,Linux,Pass,8926,0,49,0,80,0,44,6,4.8.0,4.5.3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/48991f41df2a1da94552cf2647890cf0d6e9658c),2022-03-02 23:39:03.749536
main,chianti,intel,2021.2,intelmpi,2021.2.0-gcc-9.3.0,g,Linux,Pass,8926,0,49,0,80,0,44,6,4.8.0,4.5.3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/6f62a7690efafb631620dcd1ad4b9f9f4ef90e46),2022-03-02 23:39:03.749536
main,discover,gfortran,10.1.0,intelmpi,19.1.3.304,O,Linux,Pass,8911,15,49,0,80,0,50,0,,,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/f2b44b42bb56ea78a1881ebf91e784fae538aac5),2022-03-02 23:42:58.260128
main,discover,gfortran,10.1.0,intelmpi,19.1.3.304,g,Linux,Pass,8911,15,49,0,80,0,50,0,,,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/9465c5eddbac02170e2e9dea1866f7e5cbbb7e68),2022-03-02 23:42:58.260128
main,discover,gfortran,8.3.0,intelmpi,19.1.3.304,O,Linux,Pass,8911,15,49,0,80,0,50,0,,,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/12f2b4679a323a100fd503d910ebc98527cec519),2022-03-02 23:42:58.260128
main,discover,gfortran,8.3.0,intelmpi,19.1.3.304,g,Linux,Pass,8911,15,49,0,80,0,50,0,,,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/c3591c32c447e444d31069f55b3ab0046c06cde9),2022-03-02 23:42:58.260128
main,discover,gfortran,8.3.0,mpiuni,none,O,Linux,Fail,7418,0,8,0,43,0,0,50,unknown,unknown,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/6c5f43f6762270304bf3166fc64cfada98ba1a96),2022-03-02 23:42:58.260128
main,discover,gfortran,8.3.0,mpiuni,none,g,Linux,Fail,7418,0,8,0,43,0,0,50,unknown,unknown,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/93278cc1605a477bc9ccb45b1a4b027387c35e93),2022-03-02 23:42:58.260128
main,discover,gfortran,8.3.0,mpt,2.17,O,Linux,Pass,8926,0,49,0,80,0,46,4,,,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/881aa6c2b65a1f9a548e7a50c86cc7db31f4caf7),2022-03-02 23:42:58.260128
main,discover,gfortran,8.3.0,mpt,2.17,g,Linux,Pass,8926,0,49,0,80,0,46,4,,,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/a5cbf939c3b10546ecac7a45a7b7efec95c698c7),2022-03-02 23:42:58.260128
main,discover,intel,2020,intelmpi,19.1.3.304,O,Linux,Pass,8926,0,49,0,80,0,50,0,4.8.0,4.5.4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/aeef1ef33b6ad0102712426f61149a13f1f16d1a),2022-03-02 23:42:58.260128
main,discover,intel,2020,intelmpi,19.1.3.304,g,Linux,Pass,8926,0,49,0,80,0,50,0,4.8.0,4.5.4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/dfbabd4832cbe843bc5f3ed5580cfaeefc5f6334),2022-03-02 23:42:58.260128
main,discover,intel,2020,mpt,2.17,O,Linux,Pass,8926,0,49,0,80,0,50,0,4.8.0,4.5.4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/1c5da0d497771cce8e3ee74d26ccb1f57eb88c4b),2022-03-02 23:42:58.260128
main,discover,intel,2020,mpt,2.17,g,Linux,Pass,8926,0,49,0,80,0,50,0,4.8.0,4.5.4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/795a99a99ebbe197b6aecd549a019fcfe1b58e25),2022-03-02 23:42:58.260128
main,discover,pgi,2020,mpiuni,none,O,Linux,Fail,6796,622,6,2,40,3,0,50,unknown,unknown,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/860cc822f4ca40fb8775f8390831a9eff5bdc1e6),2022-03-02 23:42:58.260128
main,discover,pgi,2020,mpiuni,none,g,Linux,Fail,6796,622,4,4,40,3,0,50,unknown,unknown,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/86baf4f804d86c9f1c6c19cce462a72fb0918e8d),2022-03-02 23:42:58.260128
