branch,host,compiler,c_version,mpi,m_version,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,hash,modified
jedwards_pio_update2,gaea,gfortran,8.3.0,mpi,7.7.11,O,Unicos,Pass,13645,2,49,0,80,0,47,3,v8.3.0b08-90-g763a128,02/26/2022_18:03:29
jedwards_pio_update2,gaea,gfortran,8.3.0,mpi,7.7.11,g,Unicos,Pass,13257,390,49,0,79,1,31,19,v8.3.0b08-90-g763a128,02/26/2022_18:03:29
jedwards_pio_update2,gaea,gfortran,8.3.0,mpiuni,none,O,Unicos,Pass,12121,0,8,0,43,0,0,50,v8.3.0b08-90-g763a128,02/26/2022_18:03:29
jedwards_pio_update2,gaea,gfortran,8.3.0,mpiuni,none,g,Unicos,Pass,12121,0,8,0,43,0,0,50,v8.3.0b08-90-g763a128,02/26/2022_18:03:29
jedwards_pio_update2,gaea,intel,2019.5,mpi,7.7.11,O,Unicos,Pass,13632,15,49,0,80,0,47,3,v8.3.0b08-90-g763a128,02/26/2022_18:03:29
jedwards_pio_update2,gaea,intel,2019.5,mpi,7.7.11,g,Unicos,Pass,13632,15,49,0,80,0,47,3,v8.3.0b08-90-g763a128,02/26/2022_18:03:29
jedwards_pio_update2,gaea,intel,2019.5,mpiuni,none,O,Unicos,Pass,12106,15,8,0,43,0,0,50,v8.3.0b08-90-g763a128,02/26/2022_18:03:29
jedwards_pio_update2,gaea,intel,2019.5,mpiuni,none,g,Unicos,Pass,12106,15,8,0,43,0,0,50,v8.3.0b08-90-g763a128,02/26/2022_18:03:29
