branch,host,compiler,c_version,mpi,m_version,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,orion,gfortran,8.3.0,mpiuni,none,O,Linux,Fail,7550,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/bfd3b26108d3315d650af5a50f317d5de1fda1a8),02/27/2022_19:47:35
develop,orion,gfortran,8.3.0,mpiuni,none,g,Linux,Fail,12174,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/795c77e82bde195df35c4bfba74c09571632f0f7),02/27/2022_19:47:35
develop,orion,gfortran,8.3.0,openmpi,4.0.2,O,Linux,Pass,9071,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/09d708ce4a89279263e3334bfa1086527ef729c3),02/27/2022_19:47:35
develop,orion,gfortran,8.3.0,openmpi,4.0.2,g,Linux,Pass,13695,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/67175eddd29bf855012fd78a8876240eb508db1e),02/27/2022_19:47:35
develop,orion,intel,2020,intelmpi,2020.2,g,Linux,Pass,fail,fail,fail,fail,fail,fail,0,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b181e3c471245f2b3c6df82f3a8f9e6a06f342db),02/27/2022_19:47:35
