branch,host,compiler,c_version,mpi,m_version,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,netcdf_c,netcdf_f,artifacts_hash,modified
develop,acorn,gfortran,10.3.0,mpich3,8.1.7,O,Linux,Pass,11931,-128,49,0,80,0,50,0,4.7.4,4.5.3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/e3e3face6c6038f64347f955b3b752ef17c60633),2022-03-02 23:04:32.410315
develop,acorn,gfortran,10.3.0,mpich3,8.1.7,g,Linux,Pass,13695,0,49,0,80,0,50,0,4.7.4,4.5.3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/698d53aec62916e95320bf5ce7354ef1629bbd88),2022-03-02 23:04:32.410315
develop,acorn,intel,2019.3,mpi,8.1.7,O,Linux,Pass,11931,-128,49,0,80,0,50,0,4.7.4,4.5.3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/cf6e23b251f450072f16cdd1d9353e2c25624943),2022-03-02 23:04:32.410315
develop,acorn,intel,2019.3,mpi,8.1.7,g,Linux,Pass,11931,-128,49,0,80,0,50,0,4.7.4,4.5.3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts-new/tree/832d600279758bd2e27a7711490d2a17549d18bd),2022-03-02 23:04:32.410315
