branch,host,compiler,c_version,mpi,m_version,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,hash,git_hash,modified
develop,gaea,intel,2019.5,mpi,7.7.11,g,Unicos,Pass,13670,15,49,0,80,0,47,3,v8.3.0b08-1-gd4bb168,96881748564c3a758b4532e16c376ca637af592e,02/24/2022_18:17:49
develop,gaea,intel,2019.5,mpiuni,none,O,Unicos,Pass,12143,15,8,0,43,0,0,50,v8.3.0b08-1-gd4bb168,96881748564c3a758b4532e16c376ca637af592e,02/24/2022_18:17:49
develop,gaea,intel,2019.5,mpiuni,none,g,Unicos,Pass,12143,15,8,0,43,0,0,50,v8.3.0b08-1-gd4bb168,96881748564c3a758b4532e16c376ca637af592e,02/24/2022_18:17:49
develop,hera,gfortran,9.2.0b,intelmpi,2020,O,Linux,Pass,0,8807,0,49,0,80,0,50,v8.3.0b08-1-gd4bb168,28e4363af3793d1fffb26ded7b75fe808d521bcb,02/24/2022_18:18:27
develop,hera,gfortran,9.2.0b,intelmpi,2020,g,Linux,Pass,0,8807,0,49,0,80,0,50,v8.3.0b08-1-gd4bb168,28e4363af3793d1fffb26ded7b75fe808d521bcb,02/24/2022_18:18:27
develop,hera,gfortran,9.2.0,mpiuni,none,O,Linux,Pass,12158,0,8,0,43,0,0,50,v8.3.0b08-1-gd4bb168,28e4363af3793d1fffb26ded7b75fe808d521bcb,02/24/2022_18:18:27
develop,hera,gfortran,9.2.0,mpiuni,none,g,Linux,Pass,12158,0,8,0,43,0,0,50,v8.3.0b08-1-gd4bb168,28e4363af3793d1fffb26ded7b75fe808d521bcb,02/24/2022_18:18:27
develop,hera,gfortran,9.2.0,openmpi,3.1.4,O,Linux,Pass,13685,0,49,0,80,0,50,0,v8.3.0b08-1-gd4bb168,28e4363af3793d1fffb26ded7b75fe808d521bcb,02/24/2022_18:18:27
develop,hera,gfortran,9.2.0,openmpi,3.1.4,g,Linux,Pass,13685,0,49,0,80,0,50,0,v8.3.0b08-1-gd4bb168,28e4363af3793d1fffb26ded7b75fe808d521bcb,02/24/2022_18:18:27
develop,hera,intel,18.0.4,intelmpi,2018.4.274,O,Linux,Pass,13685,0,49,0,80,0,50,0,v8.3.0b08-1-gd4bb168,28e4363af3793d1fffb26ded7b75fe808d521bcb,02/24/2022_18:18:27
develop,hera,intel,18.0.4,intelmpi,2018.4.274,g,Linux,Pass,13685,0,49,0,80,0,50,0,v8.3.0b08-1-gd4bb168,28e4363af3793d1fffb26ded7b75fe808d521bcb,02/24/2022_18:18:27
develop,hera,intel,18.0.4,mpiuni,none,O,Linux,Pass,12158,0,8,0,43,0,0,50,v8.3.0b08-1-gd4bb168,28e4363af3793d1fffb26ded7b75fe808d521bcb,02/24/2022_18:18:27
develop,hera,intel,18.0.4,mpiuni,none,g,Linux,Pass,12158,0,8,0,43,0,0,50,v8.3.0b08-1-gd4bb168,28e4363af3793d1fffb26ded7b75fe808d521bcb,02/24/2022_18:18:27
develop,hera,pgi,18.1,intelmpi,2018.0.4,O,Linux,Fail,fail,fail,fail,fail,fail,fail,0,50,v8.3.0b08-1-gd4bb168,28e4363af3793d1fffb26ded7b75fe808d521bcb,02/24/2022_18:18:27
develop,hera,pgi,18.1,intelmpi,2018.0.4,g,Linux,Fail,fail,fail,fail,fail,fail,fail,0,50,v8.3.0b08-1-gd4bb168,28e4363af3793d1fffb26ded7b75fe808d521bcb,02/24/2022_18:18:27
develop,jet,gfortran,9.2.0,openmpi,3.1.4,O,Linux,Pass,13685,0,49,0,80,0,50,0,v8.3.0b08-1-gd4bb168,61c590014c1e452f457cd3c453440e378b3d9b4c,02/24/2022_18:19:03
develop,jet,gfortran,9.2.0,openmpi,3.1.4,g,Linux,Pass,13685,0,49,0,80,0,50,0,v8.3.0b08-1-gd4bb168,61c590014c1e452f457cd3c453440e378b3d9b4c,02/24/2022_18:19:03
develop,jet,intel,2020.2,intelmpi,2020.2,O,Linux,Pass,13685,0,49,0,80,0,50,0,v8.3.0b08-1-gd4bb168,61c590014c1e452f457cd3c453440e378b3d9b4c,02/24/2022_18:19:03
develop,jet,intel,2020.2,intelmpi,2020.2,g,Linux,Pass,13685,0,49,0,80,0,50,0,v8.3.0b08-1-gd4bb168,61c590014c1e452f457cd3c453440e378b3d9b4c,02/24/2022_18:19:03
develop,jet,intel,2020.2,mvapich2,2.3,O,Linux,Pass,13685,0,49,0,80,0,44,6,v8.3.0b08-1-gd4bb168,61c590014c1e452f457cd3c453440e378b3d9b4c,02/24/2022_18:19:03
develop,jet,intel,2020.2,mvapich2,2.3,g,Linux,Pass,13685,0,49,0,80,0,44,6,v8.3.0b08-1-gd4bb168,61c590014c1e452f457cd3c453440e378b3d9b4c,02/24/2022_18:19:03
